,sample,X_x,Y_x,date_x,taxon,HSI,RSI,X_y,Y_y,date_y,abundance,prediction,observation
1198,101,664370,9801174,-100000000000000.0,Baetidae,0.0,1.0,664370,9801174,-100000000000000.0,0,0.0,0
1210,102,626510,9792974,-100000000000000.0,Baetidae,0.0,1.0,626510,9792974,-100000000000000.0,0,0.0,0
1222,103,656787,9784258,-100000000000000.0,Baetidae,0.0,1.0,656787,9784258,-100000000000000.0,0,0.0,0
1234,104,670892,9886421,-100000000000000.0,Baetidae,0.21141495869799487,1.0,670892,9886421,-100000000000000.0,0,0.21141495869799487,0
1246,105,664370,9801174,-100000000000000.0,Baetidae,0.0,1.0,664370,9801174,-100000000000000.0,0,0.0,0
1258,106,648585,9885921,-100000000000000.0,Baetidae,0.07916525107723939,1.0,648585,9885921,-100000000000000.0,0,0.07916525107723939,0
1270,107,685621,9822847,-100000000000000.0,Baetidae,0.1470910338128529,1.0,685621,9822847,-100000000000000.0,0,0.1470910338128529,0
1282,108,585663,9831265,-100000000000000.0,Baetidae,0.29095381385118047,1.0,585663,9831265,-100000000000000.0,0,0.29095381385118047,0
1294,109,639139,9901583,-100000000000000.0,Baetidae,0.0967628479294111,1.0,639139,9901583,-100000000000000.0,0,0.0967628479294111,0
1306,110,677242,9944586,-100000000000000.0,Baetidae,0.18674252136088793,1.0,677242,9944586,-100000000000000.0,0,0.18674252136088793,0
1318,111,670892,9886421,-100000000000000.0,Baetidae,0.21141495869799487,1.0,670892,9886421,-100000000000000.0,0,0.21141495869799487,0
1330,112,626510,9792974,-100000000000000.0,Baetidae,0.0,1.0,626510,9792974,-100000000000000.0,0,0.0,0
1342,113,586780,9803668,-100000000000000.0,Baetidae,0.12476288366878326,1.0,586780,9803668,-100000000000000.0,0,0.12476288366878326,0
1354,114,584703,9819470,-100000000000000.0,Baetidae,0.09092598142366139,1.0,584703,9819470,-100000000000000.0,0,0.09092598142366139,0
1366,115,687544,9932384,-100000000000000.0,Baetidae,0.0403406222973099,1.0,687544,9932384,-100000000000000.0,0,0.0403406222973099,0
1378,116,656713,9906694,-100000000000000.0,Baetidae,0.05886988635646638,1.0,656713,9906694,-100000000000000.0,0,0.05886988635646638,0
1389,117,688888,9767770,-100000000000000.0,Baetidae,0.21298226638994194,1.0,688888,9767770,-100000000000000.0,0,0.21298226638994194,0
1401,118,677318,9932164,-100000000000000.0,Baetidae,0.21666989702058473,1.0,677318,9932164,-100000000000000.0,0,0.21666989702058473,0
1413,119,685621,9822847,-100000000000000.0,Baetidae,0.1470910338128529,1.0,685621,9822847,-100000000000000.0,0,0.1470910338128529,0
